County,Raw Address,Notes,Name,source
Chatham,"1401 Mills B Lane Blvd., Savannah",,Liberty City Community Center,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Chattahoochee,"215 McNaughton St, Cusseta, GA 31805",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Chattahoochee,"127 Industrial Park Rd, Cusseta Ga 31805",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Cherokee,"2780 Marietta Hwy Canton, GA 30114 ",    Located behind the Tax Assessor’s building and Tag Office,County Tax Assessor’s Office (outside) ,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Cherokee,7545 Main Street Building 200 Woodstock Ga 30188,,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Clarke Athens-Clarke,"155 E Washington Street, Athens, GA 30601",,Athens-Clarke County Elections Office,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Clarke Athens-Clarke,"2025 Baxter Street; Athens, GA 30601 ",,Athens-Clarke County Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Clarke Athens-Clarke,"775 E Broad Street, Athens, GA 30601 ",,Clarke County Multimodal Transportation Center,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Clarke Athens-Clarke,"2350 Barnett Shoals Road, Athens, GA 30605",,Fire Station #7,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Clarke Athens-Clarke,275 Cleveland Rd Bogart GA 30622,,Athens-Clarke County Cooperative Extension,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Clarke Athens-Clarke,"125 S. Church Street, Winterville, GA 30683",,Winterville City Hall ,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Clay,"    210 South Washington Street, Suite 1, Fort Gaines GA 39851",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Clayton,"121 S. McDonough Street, Annex II, Jonesboro, GA 30236",Side of Courthouse near Handicap Parking,Clayton County Board of Elections & Registration ,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Clinch,"25 Court Square, Suite A, Homerville  GA 31634",put ballot in mail slot of Board of Elections office    ,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Cobb,"736 Whitlock Ave, Suite 400, Marietta GA 30064",,Cobb County Elections and Registration,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"1060 Al Bishop Dr., SW, Marietta, GA 30008",,Cobb County Animal Services,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,West Cobb Regional Library 1750 Dennis Kemp Ln NW Kennesaw Ga 30152,,West Cobb Regional Library,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb," 3535 Old 41 Hwy NW, Kennesaw, GA 30144",,North Cobb Regional Library,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"2380 Cobb Pkwy NW, Kennesaw, GA 30152",,Cobb Fire Station 8 ,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"880 Shaw Park Rd, Marietta, GA 30066",,Gritters library,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"3320 Sandy Plains Rd, Marietta, GA 30066",,Mountain View Library,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"4400 Lower Roswell Rd, Marietta, GA 30068",,East Cobb Government Service Center,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,2051 Lower Roswell Rd Marietta Ga 30068,,Sewell Mill Library and Cultural Center ,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"1885 Roswell St SE Symrna, Ga 30080",,Windy Hill Community Center ,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"1901 Cumberland Pkwy SE, Atlanta, GA 30339",,Cobb County Fire Station 4,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"4700 Austell Rd, Austell, GA 30106",,South Cobb Government Service Center,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"875 Riverside Pkwy, Austell, GA 30168",,South Cobb Recreation Center,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"805 Clay Rd, Mableton, GA 30126",,South Cobb Regional Library,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"4181 Atlanta St, Powder Springs, GA 30127",,Powder Springs Library,https://www.cobbcounty.org/elections/voting/absentee-voting
Cobb,"Cobb County Fire Station 13, 4640 Dallas Hwy, Marietta, GA 30064",,"Cobb County Fire Station 13, ",https://www.cobbcounty.org/elections/voting/absentee-voting
Coffee,"    224 West Ashley Street, Douglas GA 31533",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Colquitt,"    101 East Central Ave, Moultrie Ga 31768",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Cook,"    1200 South Hutchinson Avenue, Adel GA 31620",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Coweta,"    22 East Broad St., Newnan GA 30263",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
