County,Location,Street Address 1,Street Address 2,City,Zip,Drop-Off Location,Vote-Early Location,County Website,Operating Hours,Additional Hours
Indiana,Indiana County Board of Elections,825 Philadelphia Street,Commissioners Office 2nd Floor,Indiana,15701,TRUE,TRUE,https://www.indianacountypa.gov/departments/voting-and-elections/elections/,Monday through Friday: 8:30 a.m. to 4 p.m.,
Jefferson,Jefferson County Board of Elections,155 Main Street,NA,Brookville,15825,TRUE,TRUE,http://www.jeffersoncountypa.com/voter-registration/,NA,
Juniata,Juniata County Board of Elections,26 N. Main Street,The Bousum Building,Mifflintown,17059,TRUE,TRUE,https://www.juniataco.org/departments/voter-registration/,Monday through Friday: 8:00 A.M. to 4:30 P.M.,
Lackawanna,Lackawanna County Department of Elections,123 Wyoming Avenue,Lackawanna County Government Center,Scranton,18503,TRUE,TRUE,https://www.lackawannacounty.org/index.php/departmentsagencies/elections/voter-registration,Monday through Friday (except holidays): 9:00 A.M. to 4:00 P.M,
Lancaster,Lancaster County Board of Elections,150 N. Queen St.,Suite 117,Lancaster,17603,TRUE,TRUE,https://co.lancaster.pa.us/1282/Mail-in-Ballot-Voting,Monday - Friday: 8:30 a.m. - 5 p.m.,
Lawrence,Lawrence County Board of Elections,430 Court St.,NA,New Castle,16101,TRUE,TRUE,http://co.lawrence.pa.us/departments/voter-registration-and-elections-lawrence_county/,NA,
Lebanon,Lebanon County Board of Elections,400 South 8th Street,"Municipal Building, Room 209",Lebanon,17042,TRUE,TRUE,http://www.lebcounty.org/depts/Voter_Registration/Pages/default.aspx,Monday through Friday: 8:30 A.M. to 4:30 P.M.,
Lehigh,Catasaqua Municipal Building,90 Bridge St,NA,Catasaqua,18032,TRUE,FALSE,https://www.lehighcounty.org/Departments/Voter-Registration/Voter-Office-Information,NA,
Lehigh,Emmaus Borough Building,28 S. Fourth St.,NA,Emmaus,18049,TRUE,FALSE,https://www.lehighcounty.org/Departments/Voter-Registration/Voter-Office-Information,NA,
Lehigh,Lehigh County Office of Elections and Voter Registration,17 South Seventh Street,NA,Allentown,18101,TRUE,TRUE,https://www.lehighcounty.org/Departments/Voter-Registration/Voter-Office-Information,8:00 a.m. to 4:00 p.m.   Monday through Friday,
Lehigh,North Whitehall,3256 Levans Road,NA,Coplay,18037,TRUE,FALSE,https://www.lehighcounty.org/Departments/Voter-Registration/Voter-Office-Information,NA,
Lehigh,Upper Macungie Township,8330 Schantz Road,NA,Breinigsville,18031,TRUE,FALSE,https://www.lehighcounty.org/Departments/Voter-Registration/Voter-Office-Information,NA,
Luzerne,"Luzerne County Bureau of Elections, Penn Place",20 N Pennsylvania Avenue,NA,Wilkes-Barre,18701,TRUE,TRUE,https://www.luzernecounty.org/396/Elections,Monday - Friday: 9 a.m. - 4 :30 p.m.,
Lycoming,Lycoming County Board of Elections,33 West Third Street,NA,Williamsport,17701,TRUE,TRUE,http://www.lyco.org/Departments/Voter-Services,Monday-Friday: 8:30am-5:00pm,
McKean,McKean County Board of Elections,500 West Main Street,NA,Smethport,16749,TRUE,TRUE,https://www.mckeancountypa.org/departments/voter_registration_and_elections/index.php,NA,
